Timestamp,How many members reside in your household?,Which services do you currently pay for across individual/separate providers?,Choice Card 1: Review the comparative Starter options. Which of these would you prefer for your household?,Choice Card 2: Review the comparative Connect options. Which of these would you prefer for your household?,Choice Card 3: Review the comparative Family Secure options. Which of these would you prefer for your household?,Choice Card 4: Review the comparative Infinite options. Which of these would you prefer for your household?,"How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I worry that if one service goes down (e.g., fiber cut), I will lose all connectivity (mobile, internet, TV) at once.]","How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Migrating numbers or installing multiple hardware units (routers, TV boxes, cameras) is too complicated and time-consuming.]",How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [Consolidating will not save me significant money compared to choosing separate cheaper providers.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I prefer separate monthly bills because it helps me manage my expenses better than one large combined invoice.],How strongly do you agree or disagree with the following statements regarding having ONE provider for all household digital services? [I am concerned about data privacy and sharing too much household behavior data with a single telecom company.],Which adjacent benefits would make you MORE likely to bundle services under one provider? (Select all that apply),"What is the single biggest factor that would convince you to switch your entire household to a unified ecosystem (e.g., Altura Home / Airtel Black)?"
6/25/2026 18:44:18,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Payments Bank features offering high interest (7%) and cashback on utility bills",Reliability first - I switch only if there is no single point of failure.
7/1/2026 14:00:57,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Disagree,Agree,Disagree,Strongly Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Reliability first - I switch only if there is no single point of failure.
7/7/2026 7:26:00,5+,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)","Real savings in rupees, not vague promises of a cheaper bundle."
6/29/2026 15:12:50,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Home Security (Smart CCTV Cameras)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Agree,Neutral,Disagree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",Better hardware quality - reliable routers and cameras that do not fail often.
6/12/2026 16:43:46,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Agree,Strongly Agree,Agree,Neutral,Strongly Agree,AI-powered Home Security Cameras with phone alerts & cloud recording,"Guaranteed uptime - I need to know an outage won't take down my WiFi, mobile and TV all at once."
6/24/2026 16:40:57,3-4,"Mobile Postpaid/Prepaid SIMs, Cloud Storage (e.g., Google One, iCloud)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,"AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill)",I want a trust guarantee - compensation if all services go down together.
7/1/2026 19:08:39,2,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option B: Standalone Individual Services (₹3,508/mo total - paid separately)",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",A dedicated installation manager to coordinate all the hardware setup.
5/21/2026 17:36:41,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box), Home Security (Smart CCTV Cameras), Cloud Storage (e.g., Google One, iCloud)",Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Payments Bank features offering high interest (7%) and cashback on utility bills,Flexibility to add or remove a service without penalty.
7/5/2026 19:18:14,5+,Mobile Postpaid/Prepaid SIMs,Option B: Standalone Individual Services (₹758/mo total - paid separately),"Option B: Standalone Individual Services (₹1,298/mo total - paid separately)","Option A: Family Secure Bundle (₹999/mo Promo - 100Mbps Fiber, 2 SIMs, Xsafe Camera, Xstream Box & Play TV, 200GB Google One)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Neutral,Agree,Neutral,Agree,Agree,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping), Payments Bank features offering high interest (7%) and cashback on utility bills",Quick and easy migration of my existing number without waiting days.
5/24/2026 14:51:54,3-4,"Mobile Postpaid/Prepaid SIMs, Home Broadband WiFi, Television (DTH / Cable TV / Smart Box)","Option A: Airtel Starter Bundle (₹499/mo - 1 SIM, 100GB Google One, Xstream Play)","Option A: Airtel Connect Bundle (₹999/mo - 40Mbps Fiber, 1 SIM, Xstream Box & Play TV)","Option B: Standalone Individual Services (₹2,006/mo total - paid separately)","Option A: Airtel Infinite Bundle (₹2,999/mo - 1Gbps Fiber, 4 SIMs, 3 Xsafe Cameras, Xstream Box & Play TV, 2TB Google One, Netflix/Prime)",Agree,Disagree,Neutral,Strongly Disagree,Neutral,"Google One Cloud Storage (100GB to 2TB) for device backups, AI-powered Home Security Cameras with phone alerts & cloud recording, Autopay Discount (e.g., direct savings of ₹50 on every monthly bill), Loyalty Reward Points (e.g., Thanks Coins redeemable for OTT/shopping)",Reliability first - I switch only if there is no single point of failure.
